img_fp,l0,l1,l2,l3
"('intermediary/split_data/test/TCGA-CJ-4903-01Z-00-DX1.6DB22AEA-582B-44CB-B153-CBBFE5042735.png',)",0.8778136,0.7869092,1.6080204,1.3112322
"('intermediary/split_data/test/TCGA-HC-7744-01Z-00-DX1.0e34f0c8-9f3d-41e9-a9bb-7b6596b75398.png',)",0.6432871,1.8522629,0.6414256,1.2190286
"('intermediary/split_data/test/TCGA-55-A490-01Z-00-DX1.07D77502-7216-4C23-9BB8-8DE99AECC920.png',)",1.1132776,2.2002451,0.7031807,1.2474802
"('intermediary/split_data/test/TCGA-B0-4718-01Z-00-DX1.24cc8660-df2d-4910-ae5d-68b6ab6feb57.png',)",1.362339,2.5806339,0.98895365,1.7021508
"('intermediary/split_data/test/TCGA-B5-A3FH-01Z-00-DX1.6AFA4BA5-93E2-4E5A-9DB5-0441F070DA74.png',)",0.77158076,1.2398742,1.4334159,2.398545
"('intermediary/split_data/test/TCGA-HT-7856-01Z-00-DX5.39E17A43-12E3-444F-BAD4-BEFCDAB90491.png',)",2.4956172,1.7752275,1.5794457,1.0982262
"('intermediary/split_data/test/TCGA-YL-A8SH-01Z-00-DX2.2B25B4BE-0236-44E4-A04E-498C45AEA23B.png',)",2.2717288,1.9997025,1.7945138,1.6507882
"('intermediary/split_data/test/TCGA-AJ-A8CV-01Z-00-DX1.55DF27AD-3DF8-4458-9333-636E403B0ACF.png',)",0.63800365,0.63800365,1.2965323,0.80154145
"('intermediary/split_data/test/TCGA-H2-A3RH-01Z-00-DX1.444D8191-ADFF-4A59-BC33-B08F246594AE.png',)",1.2639455,1.2605147,1.0419577,0.98417795
"('intermediary/split_data/test/TCGA-R8-A6MK-01Z-00-DX6.695AD627-C157-4804-AE53-5E0E6AAD07CC.png',)",1.0564116,1.7657571,0.8986418,1.2626654
"('intermediary/split_data/test/TCGA-78-8648-01Z-00-DX1.D3EAEF8E-E739-490F-BF48-A4796B0C0E7A.png',)",2.5058753,1.7759635,1.6933882,1.4164622
"('intermediary/split_data/test/TCGA-FG-A6J3-01Z-00-DX3.76B18CCB-CE54-4A5D-9B74-8E62AE893147.png',)",1.5443313,2.348483,1.8408309,2.2464418
"('intermediary/split_data/test/TCGA-B8-4143-01Z-00-DX1.44100402-0862-4e68-83fa-c8fb6536563a.png',)",0.63800365,0.7529498,0.6380039,1.8389722
"('intermediary/split_data/test/TCGA-CH-5738-01Z-00-DX1.fcb841b3-9257-48a4-b175-26df4227b0ce.png',)",0.71651447,0.6868404,1.140248,0.88449043
"('intermediary/split_data/test/TCGA-EI-6884-01Z-00-DX1.45c3bfa8-e7c2-4943-b5fe-2a2587b75f55.png',)",0.6393657,1.2470316,0.638448,0.9588445
"('intermediary/split_data/test/TCGA-A5-A2K5-01Z-00-DX1.6DC4542C-DF59-4A50-9A8A-DBA9DE28678A.png',)",0.6604132,1.1579307,1.1408492,2.5500677
"('intermediary/split_data/test/TCGA-55-8089-01Z-00-DX1.da4d99ff-4a7c-45a3-b79c-039c0c9e9712.png',)",0.63800365,0.63800365,0.63800365,0.92996955
"('intermediary/split_data/test/TCGA-DB-5279-01Z-00-DX2.40EBC457-110D-408A-A40D-B51873A28818.png',)",0.6446964,1.0715162,0.74081004,2.1270857
